id|name|has_tono_records|video_id|type_id|version|creation_began|creation_finished|offset|duration|location
624403|FAQ om datalagringsdirektivet|f|624403|2|1|2011-09-05 18:42:36.340546||0|117.49|http://frontend.frikanalen.tv/media/5515/broadcast/5515_08a3a4b4184d494c8c9b42a43351031f.avi
624404|Nordens mørke krimgåte|f|624404|2|1|2011-09-05 18:42:36.340546||0|114.36|http://frontend.frikanalen.tv/media/5503/broadcast/5503_4914c7fb618a469582128cd952f6a163.avi
624405|Hva tjener far din? Episode 1|f|624405|2|1|2011-09-05 18:42:36.340546||0|266.08|http://frontend.frikanalen.tv/media/5501/broadcast/5501_6d809e467e4d4884915038b91d22f18e.avi
624406|Seriemesterne: Oppgrader|f|624406|2|1|2011-09-05 18:42:36.340546||0|253.72|http://frontend.frikanalen.tv/media/5502/broadcast/5502_0ef50ff2e4884530878e4a389687a99a.avi
624407|Heftig Mageplask|f|624407|2|1|2011-09-05 18:42:36.340546||0|142.48|http://frontend.frikanalen.tv/media/5516/broadcast/5516_cbe0ff1f1b1d4360a292385c4158b161.avi
624410|Empo tv - del 43|f|624410|2|1|2011-09-05 18:42:36.340546||0|900.12|http://frontend.frikanalen.tv/media/5496/broadcast/5496_98a19f71d3d1428297786355c44636e9.avi
624411|Utrop TV - Studio5|f|624411|2|1|2011-09-05 18:42:36.340546||0|1737.32|http://frontend.frikanalen.tv/media/5445/broadcast/5445_3d3c6870d03e43aea455f9ab7695f3c3.avi
624417|Empo tv - del 44|f|624417|2|1|2011-09-05 18:42:36.340546||0|842.88|http://frontend.frikanalen.tv/media/5497/broadcast/5497_a0c61d936f6646cf8c531d22ed686ac3.avi
624418|THE GATHERING|f|624418|2|1|2011-09-05 18:42:36.340546||0|27.96|http://frontend.frikanalen.tv/media/5527/broadcast/5527_9f91409b135a4ceca0e8ab92d56601d5.avi
624419|THE GATHERING|f|624419|2|1|2011-09-05 18:42:36.340546||0|27.96|http://frontend.frikanalen.tv/media/5534/broadcast/5534_efb04dc9624747888813633ccf998a9c.avi
624420|THE GATHERING|f|624420|2|1|2011-09-05 18:42:36.340546||0|27.96|http://frontend.frikanalen.tv/media/5529/broadcast/5529_657712ecf97a4c5dbf2f1900214ee84b.avi
624421|THE GATHERING|f|624421|2|1|2011-09-05 18:42:36.340546||0|27.96|http://frontend.frikanalen.tv/media/5535/broadcast/5535_68d755428d90412f94572f9b4cc33052.avi
624422|THE GATHERING|f|624422|2|1|2011-09-05 18:42:36.340546||0|27.96|http://frontend.frikanalen.tv/media/5531/broadcast/5531_ddb563743e9a4311add723145651f983.avi
624423|THE GATHERING|f|624423|2|1|2011-09-05 18:42:36.340546||0|27.96|http://frontend.frikanalen.tv/media/5530/broadcast/5530_c6e65116ee834809ba3a9f0345e06803.avi
624424|THE GATHERING|f|624424|2|1|2011-09-05 18:42:36.340546||0|27.96|http://frontend.frikanalen.tv/media/5528/broadcast/5528_fe4578154c374047859190cf48abecaf.avi
624431|Empo tv - del 45|f|624431|2|1|2011-09-05 18:42:36.340546||0|895.64|http://frontend.frikanalen.tv/media/5498/broadcast/5498_f9cf21c4ca8f49c994ea1a3770b91106.avi
624434|RUNE TESTER 20110427|f|624434|2|1|2011-09-05 18:42:36.340546||0|22.16|http://frontend.frikanalen.tv/media/5541/broadcast/5541_0a2e2bb1bf5c435f94d18162732c8d09.avi
624435|Kåre Johnsen|f|624435|2|1|2011-09-05 18:42:36.340546||0|3530.16|http://frontend.frikanalen.tv/media/5542/broadcast/5542_14a905efc7634c8588e800eaadddabbd.avi
624436|Utrop TV - Studio6|f|624436|2|1|2011-09-05 18:42:36.340546||0|1416.96|http://frontend.frikanalen.tv/media/5446/broadcast/5446_bc7ceb8dc6a347db94c8b5278249073d.avi
624439|Empo tv - del 46|f|624439|2|1|2011-09-05 18:42:36.340546||0|887.04|http://frontend.frikanalen.tv/media/5499/broadcast/5499_7480cc955a714c009ca7823ff950d504.avi
624440|NM2011 - Jølster Musikklag|f|624440|2|1|2011-09-05 18:42:36.340546||0|1664.76|http://frontend.frikanalen.tv/media/5543/broadcast/5543_59ae806e971a4ca89bcec79c4a4f5c8e.avi
